date,sentiment,rating,count,frequent words
03/01/2017,2.0770914285714284,0.5714285714285714,35,"{u'rt': 2, u'right': 2, u'andromeda': 3, u'pax': 8, u'big': 5, u'astier': 2, u'masseffect': 2, u'mass': 5, u'nous': 3, u'first': 8}"
03/02/2017,2.182673015873016,0.7142857142857142,63,"{u'real': 11, u'good': 12, u'contest': 3, u'u3042u308au3083u308au3083u30fcu2026oruff0fnnu300emass': 3, u'sloppy': 11, u'masseffect': 4, u'meandromeda': 3, u'key': 3, u'new': 4, u'cancela': 7}"
03/03/2017,2.206107207207207,1.2312312312312312,333,"{u'rt': 6, u'gaming': 62, u'andromeda': 6, u'i': 64, u'big': 14, u'favorite': 62, u'masseffect': 20, u'gtx': 18, u'new': 7, u'first': 23}"
03/04/2017,2.0053819862424764,0.26655202063628547,2326,"{u'u0644u0627': 126, u'different': 239, u'amp': 89, u'u0644u0639u0628u0629': 75, u'u0641u064a': 76, u'u0648': 71, u'frostbite': 90, u'new': 525, u'extensive': 239, u'first': 122}"
03/05/2017,2.2038689961575417,0.569164265129683,4164,"{u'rt': 81, u'andromeda': 301, u'i': 109, u'gtme': 135, u'masseffect': 110, u'greatest': 198, u'digital': 153, u'new': 372, u'best': 344, u'first': 125}"
03/06/2017,2.0952575476766055,0.4391619661563256,7446,"{u'golden': 1074, u'andromeda': 1147, u'awesome': 230, u'ea': 386, u'masseffect': 247, u'initiative': 920, u'greatest': 207, u'new': 2676, u'eaorigin': 206, u'more': 335}"
03/07/2017,2.1290913654618473,0.4839357429718876,2490,"{u'golden': 182, u'u0410u0432u0442u043eu0440u044b': 74, u'andromeda': 154, u'u043e': 80, u'ea': 74, u'u0440u0430u0441u0441u043au0430u0437u0430u043bu0438': 73, u'free': 156, u'u0441u0438u0441u0442u0435u043cu0435': 72, u'new': 357, u'more': 111}"
03/08/2017,2.182489610389611,0.6797632746999837,6083,"{u'shinobi602': 167, u'andromeda': 413, u'winner': 331, u'free': 264, u'masseffect': 188, u'greatest': 128, u'new': 575, u'internationalwomensday': 245, u'vast': 176, u'first': 187}"
03/09/2017,2.1458436402467944,0.4022306597057428,8428,"{u'rt': 160, u'exclusive': 178, u'andromeda': 626, u'official': 1565, u'masseffect': 248, u'un': 202, u'nomad': 259, u'greatest': 136, u'ready': 1436, u'new': 480}"
03/10/2017,2.012256026947275,0.23662379600244976,17961,"{u'andromeda': 703, u'less': 401, u'u2013': 1640, u'official': 5079, u'launch': 322, u'masseffect': 463, u'un': 315, u'mass': 507, u'ready': 421, u'new': 3034}"
03/11/2017,2.048678826272834,0.49475320637388265,12865,"{u'east': 293, u'alternate': 507, u'andromeda': 549, u'u2013': 383, u'official': 2750, u'asari': 398, u'masseffect': 329, u'mass': 297, u'new': 1620, u'sloppy': 417}"
03/12/2017,2.084157110453649,0.3594674556213018,10140,"{u'origin': 302, u'andromeda': 889, u'u2013': 279, u'official': 1266, u'ea': 341, u'stellar': 307, u'masseffect': 862, u'mass': 398, u'new': 755, u'u0432': 260}"
03/13/2017,2.09735450784996,0.3548932969822318,10637,"{u'andromeda': 481, u'deeper': 398, u'official': 668, u'masseffect': 1005, u'squad': 394, u'assemble': 394, u'new': 737, u'more': 271, u'eaaccess': 386, u'sly': 386}"
03/14/2017,2.09291817535698,0.24584867868449958,15477,"{u'rt': 603, u'andromeda': 894, u'deeper': 449, u'multiplayer': 349, u'masseffect': 832, u'squad': 448, u'assemble': 448, u'new': 972, u'un': 377, u'first': 595}"
03/15/2017,2.118982583397987,0.4594162141194725,20624,"{u'rt': 699, u'good': 637, u'andromeda': 1688, u'simple': 658, u'avant': 662, u'early': 734, u'masseffect': 838, u'such': 604, u'new': 1137, u'first': 1045}"
